Name,Rk,G,Date,Age,Tm,Venue,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Jayson Tatum,10,10,5/11/2018,20-247,BOS,Away,DEN,L (-8),1,34:42:00,5,14,0.357,1,4,0.25,4,4,1,1,1,2,4,1,2,2,2,15,10.6,-4
Jayson Tatum,11,11,8/11/2018,20-250,BOS,Away,PHO,W (+7),1,29:40:00,1,7,0.143,0,1,0,2,2,1,4,4,8,2,1,0,1,2,4,4.1,15
Jayson Tatum,12,12,9/11/2018,20-251,BOS,Away,UTA,L (-8),1,36:13:00,7,14,0.5,2,4,0.5,5,6,0.833,1,2,3,4,5,0,1,4,21,20.1,0
Jayson Tatum,13,13,11/11/2018,20-253,BOS,Away,POR,L (-6),1,34:45:00,9,18,0.5,5,9,0.556,4,4,1,3,5,8,0,0,2,1,2,27,21.2,-7
Jayson Tatum,14,14,14/11/2018,20-256,BOS,Home,CHI,W (+29),1,26:39:00,5,14,0.357,4,8,0.5,0,0,,2,4,6,0,1,0,2,2,14,7,6
Jayson Tatum,15,15,16/11/2018,20-258,BOS,Home,TOR,W (+7),1,37:32:00,8,13,0.615,2,4,0.5,3,4,0.75,1,6,7,1,2,1,3,4,21,16,8
Jayson Tatum,16,16,17/11/2018,20-259,BOS,Home,UTA,L (-12),1,23:32,5,11,0.455,0,2,0,0,0,,1,6,7,0,0,0,2,0,10,4.8,-13
Jayson Tatum,17,17,19/11/2018,20-261,BOS,Away,CHO,L (-5),1,30:28:00,8,15,0.533,1,4,0.25,3,6,0.5,1,5,6,2,1,1,0,1,20,16.4,-9
Jayson Tatum,18,18,21/11/2018,20-263,BOS,Home,NYK,L (-8),1,29:00:00,4,12,0.333,1,1,1,6,9,0.667,3,5,8,0,0,0,0,2,15,9.8,-12
Jayson Tatum,19,19,23/11/2018,20-265,BOS,Away,ATL,W (+18),1,22:56,6,11,0.545,2,5,0.4,0,0,,1,1,2,2,1,1,0,1,14,12.4,+
Jayson Tatum,1,1,17/10/2017,19-228,BOS,Away,CLE,L (-3),1,36:32:00,5,12,0.417,1,2,0.5,3,3,1,4,6,10,3,0,0,1,4,14,11.7,6
Jayson Tatum,2,2,18/10/2017,19-229,BOS,Home,MIL,L (-8),1,36:32:00,3,7,0.429,0,1,0,2,5,0.4,2,7,9,2,1,0,2,3,8,5.8,-15
